Longitude;Latitude;Radius
135.096109375;-15.3190234375;1.3313691965755103
136.369546875;-13.810234375;1.2734835793330967
139.131265625;-14.1090625;1.3313691965755103
138.10196875;-16.1393359375;1.389254813817924
135.0482578125;-15.7506640625;1.4181976224391306
139.2074375;-14.1881640625;1.4181976224391306
134.71134375;-13.857109375;1.24454077071189
136.03946875;-14.446953125;1.2734835793330967
138.834390625;-15.103203125;1.2734835793330967
135.881265625;-13.7877734375;0.9840554931210294
139.537515625;-15.56609375;0.8393414500149956
135.0560703125;-15.118828125;1.128769536227063
136.0599765625;-14.17546875;1.128769536227063
135.3412265625;-15.1862109375;1.0129983017422362
135.42228125;-13.669609375;0.6077989810453417
135.0326328125;-16.5319140625;0.8393414500149956
135.807046875;-15.0455859375;0.6077989810453417
138.9506015625;-14.314140625;1.0129983017422362
138.0697421875;-14.9967578125;0.8393414500149956
137.3509921875;-14.1246875;0.7525130241513754
139.7455234375;-14.3385546875;0.9551126844998227
136.5111484375;-14.962578125;1.0708839189846495
138.9310703125;-13.9772265625;0.8682842586362024
135.100015625;-16.0465625;0.6077989810453417
136.2377109375;-14.212578125;0.5209705551817214
138.814859375;-15.8903125;0.5499133638029282
134.877359375;-14.962578125;0.4920277465605147
135.7240390625;-14.1041796875;1.0419411103634428
138.6478671875;-14.552421875;0.8393414500149956
134.9506015625;-13.997734375;0.694627406908962
134.9418125;-16.2408984375;1.0129983017422362
137.4730625;-14.0455859375;0.46308493793930794
134.730875;-15.802421875;0.6077989810453417
135.443765625;-16.2194140625;0.4341421293181012
137.2240390625;-14.9225390625;0.40519932069689446
139.7699375;-14.4752734375;0.40519932069689446
134.7465;-15.2369921875;1.4181976224391306
138.7142734375;-16.107109375;0.694627406908962
138.5677890625;-16.071953125;0.347313703454481
139.088296875;-14.8463671875;0.9261698758786159
139.443765625;-15.8561328125;1.0708839189846495
139.654703125;-14.8268359375;0.4920277465605147
138.697671875;-14.349296875;0.6656845982877552
137.4730625;-16.1715625;0.6656845982877552
137.6361484375;-15.5397265625;8.97227067257409
139.6127109375;-14.1432421875;4.080936015590151
138.4584140625;-13.8580859375;14.210919033012512
135.5541171875;-14.4059375;4.167764441453771
134.84025;-15.2623828125;10.535182338119256
139.244546875;-13.833671875;2.8074524362570545
139.5463046875;-14.9440234375;2.952166479363088
137.36759375;-15.90984375;2.9232236707418813
139.1205234375;-16.1666796875;4.254592867317392
139.449625;-15.86296875;2.3733103069389534
136.0599765625;-14.173515625;2.0259966034844723
136.4232578125;-16.2819140625;2.4601387328025734
134.7377109375;-14.247734375;1.4471404310603373
137.3353671875;-14.616875;13.140035114027862
136.8861484375;-14.273125;4.630849379393079
138.9447421875;-14.3121875;1.7365685172724048
136.5072421875;-14.9596484375;2.054939412105679
135.939859375;-14.7975390625;2.199653455211713
135.730875;-14.10515625;1.476083239681544
138.178140625;-13.82;1.939168177620852
